报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
主营业务收入增长率(%),30.39,61.47,62.72,58.39,--,
净利润增长率(%),83.12,7.23,11.39,53.63,--,
净资产增长率(%),36.59,29.61,38.14,52.07,--,
总资产增长率(%),34.83,39.65,65.57,72.92,--,
