报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,1999-12-31,1998-12-31,
主营业务收入增长率(%),20.17,19.39,21.46,24.15,24.5,25.69,27.88,26.17,27,27.62,26.86,22.02,1479.25,1312.18,977.17,1429.54,-21.99,-14.97,1.7,-33.46,-5.28,0.91,30.33,1.4,16.53,13.3,15.47,6.81,9.56,14.02,9.27,4.24,1.74,-1.64,3.32,-2.55,-1.69,-2.27,5.49,3.26,3.77,1.63,-9.93,20.15,11.58,6.33,15.01,20.54,18.99,25.86,10.2,28.84,23.91,30.99,36.03,5.72,3.84,8.28,-2.17,-5.85,--,-21.35,--,16.5,--,19.37,25.93,--,
净利润增长率(%),34.34,32.32,39.5,36.78,35.88,33.54,31.7,31.52,31.32,29.16,26.18,28.97,84495.07,--,67233.5,--,-90.26,-1022.13,-79.43,-536.54,-44.26,-42.61,12.89,-6.46,9.34,-11.61,37.27,9.75,28.57,13.09,23.65,-8.19,1.31,-31.01,22.85,-22.75,-28.18,-23.4,-25,11.93,4.2,0.86,-19.92,15.15,-0.82,11.81,6.44,13.51,0.2,14.31,-32.84,0.37,-27.54,-39.58,-72.35,-46.56,-21.77,-7.51,-38.8,-21.52,--,-19.7,--,21.69,--,-14.54,60.17,--,
净资产增长率(%),14.45,12.7,33.45,35.93,36.28,35.98,34.19,18.26,16.85,15.69,14.58,99.06,338.34,329.15,287.02,134.8,-7.32,-10.32,-6.96,-6.84,0.55,0.98,1.28,1.26,1.5,1.29,1.49,1.45,1.63,1.4,1.34,1.32,1.48,1.16,1.49,1.47,1.53,1.69,1.98,2.01,2.08,2.03,1.79,1.82,1.31,1.47,1.34,1.34,1.13,1.28,1.53,1.6,0.95,0.89,1.1,1.82,1.4,1.92,1.63,1.91,--,203.52,--,221.1,--,11.59,15.7,--,
总资产增长率(%),22.07,21.65,35.46,39.11,30.68,24.14,9.65,6.78,20.45,24.11,34.55,66.68,200.89,173.81,166.04,102.89,-4.65,1.7,2.37,3.23,7.44,8.48,11.83,11.43,5.93,6.78,0.83,3.22,5.76,2.23,6.38,0.8,2.81,2.33,0.31,3.4,1.48,1.11,1.4,1.6,4.51,11.63,4.62,7.85,8.58,4.64,8.18,4.92,0.33,-0.64,2.68,7.31,9.49,9.86,10.22,7.27,8.45,7.47,6.02,4.06,--,101.61,--,160.83,--,13.57,5.61,--,
