报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,
主营业务收入增长率(%),24.15,26.17,22.02,1429.54,-33.46,1.4,6.81,4.24,-2.55,3.26,20.15,20.54,28.84,5.72,-5.85,16.5,19.37,25.93,--,
净利润增长率(%),36.78,31.52,28.97,--,-536.54,-6.46,9.75,-8.19,-22.75,11.93,15.15,13.51,0.37,-46.56,-21.52,21.69,-14.54,60.17,--,
净资产增长率(%),35.93,18.26,99.06,134.8,-6.84,1.26,1.45,1.32,1.47,2.01,1.82,1.34,1.6,1.82,1.91,221.1,11.59,15.7,--,
总资产增长率(%),39.11,6.78,66.68,102.89,3.23,11.43,3.22,0.8,3.4,1.6,7.85,4.92,7.31,7.27,4.06,160.83,13.57,5.61,--,
