报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31,
主营业务收入增长率(%),134.2,148.53,180.17,55.91,36.85,24.35,-15.07,-20.13,-15.2,-17.07,-20.84,31,23.03,23.92,49,-7.98,-5.38,-5.01,1.95,32.3,16.37,16.05,66.44,3.69,--,--,56.09,45.23,--,--,--,10.3,--,
净利润增长率(%),46,116.22,--,303.24,309.69,1772.71,-1625.88,-68.66,-68.91,-96.21,-97.07,43.47,19.97,22.49,96.65,-7.19,8.58,21.4,96.58,54.5,24.97,20.84,78.76,-30.47,--,--,709.98,47.9,--,--,--,28.93,--,
净资产增长率(%),67.66,71.88,71.04,52.11,11.94,9.01,-0.6,-3.67,0.42,-0.59,6.58,9.28,7.04,7.03,8.72,7.49,8.36,9.04,6.08,5.37,3.17,2.68,222.42,224.45,--,--,--,46.15,--,--,--,27.62,--,
总资产增长率(%),98.58,97.94,89.76,80.4,13.97,8.28,-2.72,-7.83,-0.24,0.41,5.73,13.2,8.16,8.01,6.67,8.51,11.62,12.47,12.02,9.12,4.85,2.49,171.22,158.42,--,--,--,28.57,--,--,--,6.26,--,
