报告期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-03-31,2009-12-31,2008-12-31,
营业收入(万元),65557,44503,15029,45708,27992,17906,5364,29317,20454,14400,6316,36705,24119,17364,7979,28020,19605,14012,5355,30451,20719,14750,5253,23017,17805,12710,3156,22197,2022,15284,13857,
营业成本(万元),40159,27589,9249,20400,12123,8261,3016,15047,10629,8202,3661,17803,11767,8507,3757,13487,9053,6305,2489,16954,11881,8681,3245,12963,9676,6923,1677,12274,1086,8196,7212,
营业利润(万元),8563,5888,896,9305,6642,3029,-961,1291,430,-95,-16,7329,5303,4527,1748,4997,4321,3754,873,5799,4108,3077,452,3343,3244,2510,211,5127,34,3567,2669,
利润总额(万元),9919,6860,1200,10108,7091,3359,-829,2033,1373,113,2,7783,5519,4620,1804,5519,4721,3860,928,6076,4331,3195,461,3989,3396,2571,226,5589,34,3789,2917,
所得税费用(万元),1150,767,314,1382,1085,541,-161,-131,-93,-38,-42,878,803,647,310,706,790,617,168,890,711,523,74,633,499,360,9,762,7,525,386,
净利润(万元),8769,6092,886,8726,6006,2818,-668,2164,1466,150,44,6905,4716,3973,1494,4813,3931,3244,760,5186,3621,2672,387,3356,2897,2211,216,4827,27,3264,2531,
基本每股收益,0.18,0.15,0.02,0.23,0.16,0.07,-0.02,0.06,0.04,0,0,0.3,0.21,0.18,0.14,0.44,0.36,0.3,0.07,0.47,0.33,0.24,0.05,0.46,0.41,0.35,0.03,0.77,0,0.52,0.4,
货币资金(万元),34668,35974,38783,36823,17426,11048,15893,18811,11850,11776,16250,19535,29183,34307,39078,41706,36112,39306,42086,41497,36906,37960,38966,40598,39458,39495,7543,10967,10946,9248,
应收账款(万元),42194,41596,25695,23137,17237,15805,10707,9980,11811,11421,7512,7694,7058,6697,5939,5560,9225,7271,6663,7017,7633,6718,5465,5361,5590,6501,4068,4002,1674,1112,
存货(万元),26049,15626,15831,14015,14164,12237,13550,12984,11891,10558,11294,11809,10702,9764,9465,6661,7088,6137,6305,5561,5687,5047,7207,5714,4976,4534,5535,3743,3188,3820,
流动资产合计(万元),111025,101258,91642,83994,57192,51012,49059,48606,47534,47233,51626,55556,50208,54149,56671,55667,54008,53928,56719,55064,51339,50552,52793,52679,50726,51922,18831,19630,16001,14999,
固定资产净额(万元),16140,16302,15577,15697,15596,16018,14927,15145,15013,14539,14385,14469,13876,6170,6022,5872,5872,5163,4925,1398,1418,1284,1264,1230,1210,1250,1211,1223,978,934,
资产总计(万元),155490,145494,133621,126325,78300,73503,70415,70026,68703,67881,72387,75971,68869,67606,68467,67115,63676,62594,64187,61849,57045,55655,57301,56678,54407,54304,21127,21933,17059,16054,
流动负债合计(万元),43845,36322,28184,35477,11544,9921,8598,10111,9506,9313,9940,13581,8958,8491,9772,9915,7704,7416,10245,9288,6298,5854,7260,7031,4947,5531,5297,6313,6024,7657,
非流动负债合计(万元),805,1019,978,887,646,659,746,771,139,847,1004,993,1101,1049,1046,1015,1033,926,916,294,45,47,52,45,317,317,326,332,575,200,
负债合计(万元),44649,37341,29163,36364,12190,10580,9344,10882,9646,10160,10944,14575,10060,9540,10819,10930,8737,8342,11162,9581,6343,5901,7312,7076,5264,5848,5623,6645,6598,7857,
所有者权益(或股东权益)合计(万元),110840,108152,104458,89961,66110,62923,61071,59144,59058,57721,61443,61397,58809,58066,57648,56185,54939,54252,53025,52267,50702,49754,49988,49602,49142,48456,15504,15288,10461,8197,
期初现金及现金等价物余额(万元),36468,36468,36468,18030,18030,18030,18030,19535,19535,19535,19535,41706,41706,41706,41706,41497,41497,41497,41497,40598,40598,40598,40598,10967,10967,10967,10967,10946,10946,9248,6838,
经营活动产生的现金流量净额(万元),-10266,-10569,-5896,15245,-2408,-3421,-3338,-5636,-8221,-5537,-3018,1844,-4444,-3086,-1972,5544,-1918,575,1362,5764,230,564,-1114,786,-382,-1538,-2317,2376,616,3463,2985,
投资活动产生的现金流量净额(万元),-4548,-3693,-6408,1733,241,-5292,-2279,7620,4148,1549,-330,-22389,-6657,-2740,-752,-4644,-2711,-1962,-819,-3179,-2002,-1218,-568,-2239,-1728,-1240,-1102,-1338,-65,238,-354,
筹资活动产生的现金流量净额(万元),13771,13937,14058,723,1057,988,2595,-3801,-3805,-3815,16,-1685,-1478,-1631,91,-557,-667,-734,70,-1655,-1931,-2002,47,31115,30629,31329,-3,-1000,0,-2000,-182,
现金及现金等价物净增加额(万元),-1914,-722,1581,18438,-968,-7626,-3030,-1505,-7685,-7759,-3285,-22171,-12524,-7399,-2628,209,-5384,-2191,589,899,-3692,-2639,-1633,29632,28492,28529,-3424,20,551,1698,2410,
期末现金及现金等价物余额(万元),34554,35746,38049,36468,17062,10403,15000,18030,11850,11776,16250,19535,29183,34307,39078,41706,36112,39306,42086,41497,36906,37960,38966,40598,39458,39495,7543,10967,11497,10946,9248,
