报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
主营业务收入增长率(%),55.91,-20.13,31,-7.98,32.3,3.69,45.23,10.3,--,
净利润增长率(%),303.24,-68.66,43.47,-7.19,54.5,-30.47,47.9,28.93,--,
净资产增长率(%),52.11,-3.67,9.28,7.49,5.37,224.45,46.15,27.62,--,
总资产增长率(%),80.4,-7.83,13.2,8.51,9.12,158.42,28.57,6.26,--,
