报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
主营业务收入增长率(%),44.68,25.44,4.81,22.79,26.78,--
净利润增长率(%),60.02,43.85,5.13,11.27,7.12,--
净资产增长率(%),14.6,79.15,15.3,16.18,17.2,--
总资产增长率(%),38.14,70.36,19.63,7.34,24.61,--
