报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31
主营业务收入增长率(%),66.4,65.91,23.26,44.68,52.39,39.22,46.2,25.44,12.6,13.72,15.66,4.81,--,--,--,22.79,26.78,--
净利润增长率(%),123.18,120.32,45.06,60.02,66.36,43.78,56.71,43.85,19.75,26.14,37.63,5.13,--,--,--,11.27,7.12,--
净资产增长率(%),118.23,121.64,116.72,14.6,13.1,11.3,78.71,79.15,--,80.3,--,15.3,--,--,--,16.18,17.2,--
总资产增长率(%),96.16,105.47,102.58,38.14,36.81,29.46,72.78,70.36,--,51.51,--,19.63,--,--,--,7.34,24.61,--
