报告期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-09-30,2008-12-31,2007-12-31,
营业收入(万元),235023,148654,73605,230911,191282,123333,65592,226604,178060,117705,57764,170498,138499,93817,47614,148224,116274,75235,36423,106669,80963,52819,27951,65796,47675,28080,13022,34608,25065,16155,20529,14788,14186,6685,
营业成本(万元),78106,49162,25806,82207,66287,42866,23362,76421,59528,39035,20280,58001,46838,31324,16353,52327,41092,26750,12943,39070,29711,19143,9732,23582,17161,10240,4717,12297,8857,5931,7553,5520,5633,3079,
营业利润(万元),97337,69854,35363,63583,65173,41227,25125,72083,66692,47685,22705,55411,54356,39754,20603,50279,42072,27445,13660,33173,28495,21148,12501,21742,17305,10438,4827,10745,8636,6468,6137,4970,3495,1787,
利润总额(万元),98483,71433,35405,65372,67274,42731,26761,73996,68606,48793,23797,59224,56177,41259,20639,50321,41699,27420,13670,33120,28672,21297,12677,21993,17445,10577,4834,10790,8627,6479,6135,4940,3446,1568,
所得税费用(万元),15725,11726,6550,14606,11931,7604,4737,11962,10889,7183,3272,8964,8310,5944,2878,8152,6340,4126,1884,5085,4474,3318,1982,3349,2670,1629,738,1580,1356,1030,918,794,776,355,
净利润(万元),82757,59708,28855,50765,55343,35127,22024,62034,57717,41610,20526,50259,47867,35315,17760,42169,35359,23294,11787,28035,24198,17979,10695,18644,14774,8948,4096,9211,7271,5448,5217,4146,2671,1213,
基本每股收益,0.55,0.4,0.19,0.37,0.39,0.25,0.31,0.89,0.82,0.59,0.3,0.77,0.73,0.54,0.54,1.29,1.08,0.71,0.54,1.28,1.11,0.82,0.49,1.7,1.35,0.82,0.75,2.25,1.77,1.33,1.45,1.2,0.89,9.33,
货币资金(万元),290821,266100,221749,201563,191730,163368,160512,144364,146711,162806,287861,153704,151319,153967,162924,153018,135151,127266,122343,124616,124844,122995,120917,135106,133209,132414,137406,150360,5655,7175,4109,2107,746,
应收账款(万元),29441,10987,17934,5439,19005,11242,15315,5183,14837,8332,14576,4347,14077,8941,11099,3996,10785,6226,8201,3695,4940,2519,4298,2232,4255,2541,3630,1298,2022,1675,757,768,364,
存货(万元),29907,32092,28861,33929,22232,26076,24309,30934,29823,24436,19189,22929,18338,15808,16669,23368,20568,22296,20798,20953,15121,13360,12327,11419,8463,7637,7555,6709,5432,3573,3345,1702,1505,
流动资产合计(万元),387284,351576,339051,322951,324963,309192,336496,313511,330839,348604,333084,191222,198936,188524,197584,185871,175381,163494,168064,161709,159629,153810,153583,161762,158547,152296,155907,167598,16390,14011,9243,5085,3580,
固定资产净额(万元),64997,63789,57050,60158,57089,51373,48679,49676,48671,40250,41673,42875,42196,41075,38100,38565,36919,39251,39162,38997,32567,19951,16212,7368,6945,6327,12473,5679,5035,4801,4587,1974,715,
资产总计(万元),587124,552379,551921,532836,531769,511336,531655,490541,481181,467659,473141,270117,266180,251280,259310,245533,230526,216587,218219,210473,203129,194417,186443,189417,179669,170547,171476,175365,22836,20078,14943,7720,4497,
流动负债合计(万元),69855,58654,89289,60629,62085,62661,96239,33479,27952,32565,60067,24336,22872,20551,49654,21422,15036,13065,26293,16950,13829,11346,10744,13394,7911,4615,4928,12913,4849,3914,4228,3492,2276,
非流动负债合计(万元),1991,1491,1799,1838,1754,1616,1745,1676,1436,1504,1139,1012,781,753,833,833,543,640,551,812,426,415,328,411,15,15,15,15,15,15,15,0,0,
负债合计(万元),71846,60146,91088,62466,63838,64278,97983,35155,29389,34069,61207,25348,23653,21304,50487,22255,15578,13704,26844,17761,14255,11761,11072,13805,7926,4630,4943,12928,4864,3929,4243,3492,2276,
所有者权益(或股东权益)合计(万元),515278,492233,460833,470370,467931,447058,433672,455386,451792,433590,411934,244770,242527,229976,208823,223278,214948,202883,191375,192712,188874,182656,175371,175612,171743,165917,166533,162437,17972,16149,10700,4227,2221,
期初现金及现金等价物余额(万元),201563,201563,201563,144136,144364,144364,144364,153704,153704,153704,153704,150518,150518,150518,150518,118116,124616,124616,118116,134826,135106,135106,135106,150360,150360,150360,150360,4109,4109,4109,2107,2106,746,62,
经营活动产生的现金流量净额(万元),64271,46190,12563,68465,51812,37470,11656,63489,44300,42633,13891,56064,39745,36294,12755,62651,34973,22497,4665,11122,13192,8868,1352,17399,10045,5050,302,5461,4487,3786,4188,2772,2536,1280,
投资活动产生的现金流量净额(万元),63949,56912,7918,23645,12672,-898,-1921,-221361,-199557,-181840,-62757,-23639,-9735,-4617,-2849,-17126,-11315,-6724,-3151,-16897,-12518,-10044,-5420,-20042,-14296,-10096,-5833,-7876,-1670,-689,-3213,-1816,-2068,-596,
筹资活动产生的现金流量净额(万元),-37857,-37857,0,-34735,-17338,-17765,6414,148310,148310,148310,183012,-29210,-29210,-29227,0,-13123,-13123,-13123,-3787,-10936,-10936,-10936,-10123,-12891,-12900,-12900,-7423,148667,-1271,-31,1027,-185,892,0,
现金及现金等价物净增加额(万元),89258,64537,20186,57427,47367,19004,16148,-9568,-6993,9102,134157,3186,801,2449,9906,32402,10535,2650,-2272,-16710,-10262,-12111,-14190,-15533,-17151,-17946,-12953,146251,1546,3066,2002,771,1361,684,
期末现金及现金等价物余额(万元),290821,266100,221749,201563,191730,163368,160512,144136,146711,162806,287861,153704,151319,152967,160424,150518,135151,127266,115843,118116,124844,122995,120917,134826,133209,132414,137406,150360,5655,7175,4109,2877,2107,746,
