报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2008-12-31,2007-12-31,
主营业务收入增长率(%),22.87,20.53,12.22,1.9,7.43,4.78,13.55,32.91,28.56,25.46,21.32,15.03,19.11,24.7,30.72,38.96,43.61,42.44,30.31,62.12,69.82,88.1,114.64,90.12,90.21,73.81,--,68.58,69.5,--,--,44.72,--,112.2,--,
净利润增长率(%),49.53,69.98,31.01,-18.17,-4.11,-15.58,7.3,23.43,20.58,17.82,15.57,19.19,35.37,51.6,50.68,50.41,46.12,29.56,10.21,50.38,63.78,100.93,161.1,102.41,103.19,64.24,--,76.54,75.37,--,--,95.37,--,120.22,--,
净资产增长率(%),10.12,10.11,6.26,3.29,3.57,3.11,5.28,86.05,86.29,88.54,97.27,9.63,12.83,13.35,9.12,15.86,13.8,11.07,9.13,9.74,9.97,10.09,5.31,8.11,855.63,927.43,--,1418.04,--,--,--,153.12,--,90.37,--,
总资产增长率(%),10.41,8.03,3.81,8.62,10.51,9.34,12.37,81.6,80.77,86.11,82.46,10.01,15.47,16.02,18.83,16.66,13.49,11.4,17.04,11.12,13.06,14,8.73,8.01,686.79,749.44,--,1073.53,--,--,--,93.57,--,71.67,--,
