报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
主营业务收入增长率(%),1.9,32.91,15.03,38.96,62.12,90.12,68.58,44.72,112.2,--,
净利润增长率(%),-18.17,23.43,19.19,50.41,50.38,102.41,76.54,95.37,120.22,--,
净资产增长率(%),3.29,86.05,9.63,15.86,9.74,8.11,1418.04,153.12,90.37,--,
总资产增长率(%),8.62,81.6,10.01,16.66,11.12,8.01,1073.53,93.57,71.67,--,
