报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2006-12-31,2005-12-31,
主营业务收入增长率(%),49.25,110.25,132.6,89.87,98.69,56.14,51.88,-11.15,-7.45,-16.31,-28.27,11.89,-4.27,-9.66,-10.98,-15.09,-19.12,-25.2,-32.38,-12.44,-12.73,1.04,9.31,42.67,50.44,56.85,50.04,37.94,37.48,23.37,17.68,1.36,1.22,9.35,21.94,9.16,--,--,--,14.81,11.64,--,
净利润增长率(%),21.33,109.53,14.84,83.68,47.11,6.06,-9.88,2.15,2.61,-6.85,22.1,-44.31,-41.29,-48.6,-69.03,-20.95,-19.45,-23.23,-46.16,5.66,-2.62,7.89,24.9,61.8,69.58,58.12,53.79,61.94,36.16,24.8,6.19,22.22,34.3,50.28,4.31,13.4,--,--,--,-8.07,20.15,--,
净资产增长率(%),3.44,67.25,65.85,65.94,64.67,2.95,2.95,3.21,3.24,3.08,2.07,1.99,1.62,2.11,4.11,4.5,6.65,62.93,66.89,69.38,67.38,12.4,13.33,13.49,14.89,12.96,12.14,176.85,--,177.81,187.18,19.15,-100,22.17,18.71,18.96,--,--,--,13.24,15.68,--,
总资产增长率(%),16.08,63.67,58.63,56.49,58.71,6.37,8.24,7.56,6.08,3.9,6.14,3.74,6.23,7.09,3.83,4.63,4.67,28.07,29.38,25.49,49.19,25.02,28.39,38.34,25.61,39.4,39.33,107.22,--,118.01,116.65,40.82,-100,13.23,18.39,16.54,--,--,--,16.86,9.9,--,
