报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,
主营业务收入增长率(%),89.87,-11.15,11.89,-15.09,-12.44,42.67,37.94,1.36,9.16,14.81,11.64,--,
净利润增长率(%),83.68,2.15,-44.31,-20.95,5.66,61.8,61.94,22.22,13.4,-8.07,20.15,--,
净资产增长率(%),65.94,3.21,1.99,4.5,69.38,13.49,176.85,19.15,18.96,13.24,15.68,--,
总资产增长率(%),56.49,7.56,3.74,4.63,25.49,38.34,107.22,40.82,16.54,16.86,9.9,--,
