报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2002-12-31,2001-12-31,2000-12-31,
主营业务收入增长率(%),21.21,26.44,57.71,40.4,1.82,4.34,50.15,42.58,39.58,48.23,4.28,27.66,30.3,29.58,159.3,74.38,99.38,98.47,56.71,55.03,30.3,2502.23,1333.43,2983.79,3393.57,132.22,154.53,37.75,15.66,-0.38,-13.73,-39.29,-39.78,-47.47,-58.25,-1.4,-2.75,-0.26,24.67,31.83,44.78,60.08,69.63,44.47,41.64,21.15,9.44,-10.4,-17.82,-9.91,-14.74,2.68,2.42,--,--,7.62,--,--,23.26,31.98,--,
净利润增长率(%),40.11,40.29,43.97,23.68,8.47,21.82,56.73,31.19,28.54,17.29,2.55,41.51,43.68,53.4,60.77,43.91,50.11,43.06,11838.42,45.91,36.62,--,--,57664.28,48012.1,-148.73,--,-70.33,--,--,--,--,--,--,--,--,--,--,--,-515.91,-24451.01,--,--,--,--,-1008.55,--,-306.1,-139.88,-94.63,-500.64,-47.95,-44.7,--,--,-1.34,--,--,1.56,49.64,--,
净资产增长率(%),74.73,66.44,43.44,48.39,81.67,80.03,66.69,47.33,14.68,43.37,75.65,74.74,161.68,114.88,116.83,100.77,41.97,39.42,34.71,23.69,14.76,1475.92,1239.46,1359.34,1349.17,0.27,2.5,0.81,8.62,9.33,4.02,2.53,-11.76,-14.68,-15.05,-13.53,-13.73,-12.68,-9.66,-9.72,0.32,1.33,-6.22,-4.21,-11.65,-12.43,-9.26,-10.61,-4.31,-2.42,-2.3,-0.46,225.43,--,--,285.93,--,--,26.86,35.96,--,
总资产增长率(%),42.82,49.56,50.72,48.2,59.51,56.78,50.81,47.96,41.28,39.8,52.39,53.81,67.25,71.77,62.61,71.54,70.59,80.36,69.82,56.61,45.06,8098.67,8025.31,7483.88,6650.05,5.05,8.45,6.91,15.15,16.22,-4.27,-9.82,-28.66,-31.31,-23.47,-19.42,-11.26,-7.53,-0.13,6.43,16.45,12.05,-0.39,-5.32,-5.43,-6.61,-5.53,-5.09,-3.08,-3.21,-6.87,-1.67,125.48,--,--,150.78,--,--,21.69,20.74,--,
