报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,
主营业务收入增长率(%),40.4,42.58,27.66,74.38,55.03,2983.79,37.75,-39.29,-1.4,31.83,44.47,-10.4,2.68,7.62,23.26,31.98,--,
净利润增长率(%),23.68,31.19,41.51,43.91,45.91,57664.28,-70.33,--,--,-515.91,--,-306.1,-47.95,-1.34,1.56,49.64,--,
净资产增长率(%),48.39,47.33,74.74,100.77,23.69,1359.34,0.81,2.53,-13.53,-9.72,-4.21,-10.61,-0.46,285.93,26.86,35.96,--,
总资产增长率(%),48.2,47.96,53.81,71.54,56.61,7483.88,6.91,-9.82,-19.42,6.43,-5.32,-5.09,-1.67,150.78,21.69,20.74,--,
