报告期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业收入(万元),3088987,2225889,780766,5382059,2548553,1760484,495062,3833469,2503048,1687224,329703,2688555,1793227,1138249,316173,2105975,1376236,878437,121935,1207694,690249,442600,77810,779001,529757,17008,5428,25261,15164,7324,2133,18338,13111,7352,2472,30208,21773,13995,5921,30636,22388,14032,4750,23239,15464,8765,2800,
营业成本(万元),1345969,945449,293631,3604515,1380817,874654,167443,2510336,1582564,1046661,159713,1726920,1089419,617076,161336,1393904,880316,525298,23894,728801,364531,192051,53928,452380,293172,13267,4180,19558,12031,5812,1856,15017,11308,6572,2440,25330,17936,12094,4953,24819,17437,10810,3693,17474,11496,6550,2119,
营业利润(万元),946804,803401,277080,881827,634818,559505,191088,690304,559350,427394,101096,506373,438224,364751,103698,358054,298869,233499,65365,251481,198178,166478,711,174928,146097,94,-84,-15,-73,-211,-518,-285,-1055,-1332,-823,-3743,-1917,-1372,-491,-2818,-810,-466,-598,-193,21,-222,-396,
利润总额(万元),935271,795562,274991,897552,640543,566247,191826,694856,563229,431101,105126,505964,438369,364836,103736,358599,298706,233617,65369,251966,198505,166656,787,174237,146171,51,-90,221,225,100,-537,747,-1210,-1489,-822,-3824,-2020,-1448,-503,-2870,-809,-457,-597,956,12,-252,-408,
所得税费用(万元),312855,254714,99398,280740,196305,180713,69860,196147,153682,114612,27305,125823,119743,95000,27847,89962,76941,57714,18165,65294,50771,43702,392,46299,38034,100,--,--,--,--,0,--,--,--,--,29,38,-31,--,247,5,4,2,206,9,11,2,
净利润(万元),622415,540847,175593,616812,444239,385534,121966,498709,409547,316489,77821,380141,318626,269835,75890,268638,221765,175902,47204,186672,147734,122954,395,127938,108137,-49,-90,221,225,100,-537,747,-1210,-1489,-822,-3853,-2058,-1416,-503,-3117,-815,-461,-599,749,3,-262,-410,
基本每股收益,2.02,1.82,0.59,2.22,1.58,1.36,0.44,1.81,1.42,1.15,0.53,2.67,2.13,1.74,0.47,2.05,1.68,2.01,0.53,2.02,1.69,1.43,0.03,2.31,1.97,-0,-0.01,0.02,0.02,0.01,-0.04,0.05,-0.08,-0.1,--,-0.27,-0.14,-0.09,--,-0.22,-0.06,-0.03,-0.04,0.05,0,-0.02,-0.41,
货币资金(万元),4835784,6105654,4870546,4550309,4073101,3979233,3848936,3680167,3071197,2523766,1971197,1619392,1612954,1772340,1119163,994376,1002695,873832,688594,555648,381803,274874,338776,357428,347419,5607,4726,5898,5139,6919,6248,8383,3840,2300,3945,4012,4684,5283,3671,5614,5798,6823,4587,8091,
应收账款(万元),1709907,1777787,1324695,950078,1246697,1291955,1032679,717748,781453,868040,663625,513748,482418,368573,207198,174429,164631,195587,178875,141102,119858,107564,80241,30552,79536,3561,2740,2810,2564,2120,1449,1888,2509,3239,2666,3888,3518,4786,4049,4666,6580,7109,5605,6530,
存货(万元),20074237,18409377,16214447,14734475,13071257,12443713,10251008,10062120,8748955,8523315,7864627,7831603,6717133,6501157,5845255,5405776,4418643,4215659,3529277,3228021,2802188,2561680,2258610,2066504,1759184,4322,5184,4615,6870,5980,4612,3427,4131,4148,4949,5970,11082,9601,9712,8875,9908,9255,8588,6399,
流动资产合计(万元),31025323,29856846,25521924,22356117,21290621,19765113,16981387,15376512,13779476,13062299,11653992,10767229,9750694,9339578,7615774,6934838,6004350,5531717,4828056,4192376,3612376,3138502,2850709,2671151,2450782,15389,14336,15144,17180,17629,14424,17114,12025,11086,13451,15982,23067,23708,22334,23485,30089,30684,27212,26805,
固定资产净额(万元),279689,275749,266819,267013,233448,231258,234492,237903,190437,192647,195696,164576,139796,137330,74945,75963,22573,21411,20726,20443,19814,20276,20804,21423,20995,15348,15368,15448,12781,13074,13385,13584,16006,16341,16773,17188,17736,17929,18231,18494,5566,5686,5763,6012,
资产总计(万元),33648381,32453977,28035704,24990333,23560567,21698982,18600864,16862335,14770403,13840094,12334142,11396419,10454687,9899785,8093878,7409381,6251120,5763334,4977485,4319345,3664498,3195479,2930965,2757984,2526159,38976,36072,36366,37424,37103,33263,34017,32501,31926,34745,37720,45557,46481,45398,46808,51335,50267,45457,43980,
流动负债合计(万元),20495869,20014447,17497504,15969925,15006114,13334492,11759185,11383940,9988148,10044837,9016567,8478350,7502679,7416073,5978518,5441509,4510267,4295688,3707052,3194814,2760066,2500189,2307836,2131000,1841686,11554,8692,8896,9951,9754,6551,6768,7209,6912,9065,11144,16881,17162,15166,16073,18112,16690,11991,9938,
非流动负债合计(万元),6973360,6878000,6039234,5217237,5017983,5022950,3705230,2915395,2835640,1939148,1435928,1178442,1254544,1189099,1044105,972348,1092183,865169,776370,628671,447511,263149,256382,226101,286335,0,0,0,0,0,0,0,--,0,--,--,14,0,--,--,--,--,--,--,
负债合计(万元),27469230,26892446,23536738,21187162,20024097,18357442,15464414,14299335,12823788,11983986,10452495,9656791,8757223,8605172,7022623,6413857,5602450,5160857,4483422,3823485,3207576,2763337,2564218,2357101,2128021,11554,8692,8896,9951,9754,6551,6768,7209,6912,9065,11144,16895,17162,15166,16073,18112,16690,11991,9938,
所有者权益(或股东权益)合计(万元),6179151,5561531,4498966,3803171,3536470,3341540,3136449,2563000,1946615,1856109,1881647,1739628,1697464,1294613,1071255,995524,648670,602477,494064,495859,456922,432142,366747,400883,398138,27422,27380,27470,27474,27349,26712,27249,25292,25014,25680,26576,28662,29318,30232,30735,33223,33577,33465,34043,
期初现金及现金等价物余额(万元),4332467,4332467,4332467,3519600,3519600,3519600,3519600,1423991,1423991,1423991,1423991,986564,986564,986564,986564,531135,531135,531135,555535,357300,357300,357300,357428,275223,275223,5678,5678,8126,8126,8126,8126,3958,3958,3958,3840,5059,5614,5059,5530,7373,7316,7373,8091,16941,12376,16941,16941,
经营活动产生的现金流量净额(万元),-2243187,-426968,-241492,776306,-17876,-476665,-377943,744972,242426,-166117,-157306,-495401,-380802,-157610,-188548,-347442,-44409,-21401,-40448,21753,2616,11723,10084,24094,34642,1751,-225,4737,2706,1200,-527,2330,2204,408,429,1875,539,484,-1351,408,-1388,-489,-1821,3371,3402,2581,541,
投资活动产生的现金流量净额(万元),-2533644,-2044918,-863340,-2506232,-2171101,-1456040,-367491,-579555,-577028,-82473,-13294,-272753,-266693,-161826,-15932,-307599,-137279,-83456,-60877,-263996,-144711,-88100,-20882,-75534,-47471,-1956,-752,-5090,-3746,-2633,-1568,4093,-72,-2,196,-1003,-871,-309,-172,-5384,-3628,-3601,-3134,-6660,-4579,-5870,-3541,
筹资活动产生的现金流量净额(万元),4866148,3831076,1436908,2539375,2549989,2255261,974931,1929584,1868125,1215503,571673,1205471,1156404,1031167,308993,1110404,628734,355041,234271,416077,166485,-6162,-7967,133517,79306,0,17,-2082,-2082,-54,-21,-2252,-2344,-2115,-572,-1911,-582,-493,-404,2717,2808,2907,1456,-6232,-2604,-4159,300,
现金及现金等价物净增加额(万元),71868,1355659,331905,812867,367410,323613,228069,2095608,1533490,966913,401079,437428,509140,712010,104788,455428,447047,250184,132946,173835,24390,-82539,-18765,82077,66476,-215,-962,-2448,-3125,-1488,-2117,4168,-216,-1712,51,-1100,-930,-331,-1935,-2314,-2222,-1196,-3505,-9569,-3793,-7455,-2705,
期末现金及现金等价物余额(万元),4404334,5688126,4664372,4332467,3887009,3843213,3747668,3519600,2957481,2390905,1825071,1423991,1495703,1698574,1091351,986564,978182,781319,688481,531135,381691,274761,338663,357300,341699,5463,4716,5678,5001,6638,6009,8126,3742,2247,3891,3958,4684,4728,3596,5059,5094,6177,4587,7373,8583,9486,14236,
