报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,
主营业务收入增长率(%),5.07,-9.83,12.35,32.08,37.42,52.8,61.67,23.04,-3.63,95.08,37.29,31.66,43.99,--,
净利润增长率(%),5.6,-15.41,19.54,42.34,50.8,81.38,93.09,46.74,52.02,29.55,53.19,41.47,10.88,--,
净资产增长率(%),15.96,19.39,30.39,33.34,34.88,151.15,32.96,29.31,21.02,14.17,224.65,41.93,41.65,--,
总资产增长率(%),8.13,14.27,21.59,33.73,73.26,89.76,47.07,39.77,20.84,-18.99,69.57,43.61,69.32,--,
