报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2004-12-31,2003-12-31,
主营业务收入增长率(%),5.7,4.35,3.94,5.07,2.02,2.73,3.11,-9.83,0.08,2.35,0.2,12.35,25.37,28.11,31.07,32.08,32.39,30.59,30.31,37.42,36.55,38.08,40.79,52.8,51.28,53.1,50.24,61.67,52.93,46,33.95,23.04,17.51,8.06,10.77,-3.63,-11.01,-20.23,-47.34,95.08,102.89,141.07,254.01,37.29,--,--,--,31.66,--,43.99,--,
净利润增长率(%),6.57,1.01,0.05,5.6,2.87,4.58,6.92,-15.41,-0.53,3.34,8.9,19.54,30.01,35.59,37.69,42.34,44.69,46.09,45.82,50.8,59.58,66.31,69.16,81.38,86.25,100.27,97.41,93.09,81.29,82.17,73.65,46.74,33.53,23.4,24.08,52.02,60.89,66.24,66.14,29.55,27.58,10.03,8.51,53.19,--,--,--,41.47,--,10.88,--,
净资产增长率(%),14.9,14.97,15.39,15.96,15.47,16.09,18.5,19.39,24.69,28.98,29.02,30.39,34.28,33.78,33.4,33.34,35.41,34.67,35.81,34.88,144.13,136.9,155.86,151.15,42.59,51.5,32.53,32.96,29.88,25.76,29.2,29.31,19.24,17.35,18.19,21.02,22.9,21.63,18.83,14.17,191.37,--,204.7,224.65,--,--,--,41.93,--,41.65,--,
总资产增长率(%),5.07,8,12.25,8.13,9.38,11.71,12.49,14.27,20.94,23.16,20.13,21.59,37.36,35.47,39.11,33.73,56.3,62.86,71.65,73.26,86.55,82.86,91.67,89.76,56.46,58.66,46.52,47.07,35.72,35.52,35.29,39.77,34.32,25.86,25.87,20.84,21.91,23.44,17.38,-18.99,-9.04,--,5.97,69.57,--,--,--,43.61,--,69.32,--,
