code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
000895,双汇发展,1.31,-1.91,,31.4,,431929.99,-1.95,10派11,03-27
600078,澄星股份,0.09,-1.1,,3.17,,5883.02,-2.06,,03-31
600917,重庆燃气,0.23,-4.17,,9.9,,36342.92,-2.1,,03-31
000739,普洛药业,0.22,-4.35,,9.38,,25659.21,-2.4,10派0.65,03-10
603926,铁流股份,1.02,-17.74,,12.41,,10917.73,-2.43,,03-08
002782,可立克,0.13,-2.53,,6.99,,5742.14,-2.5,10派2,03-16
002186,全聚德,0.44,-2.56,,9.27,,13599.6,-2.57,10派2.6,03-27
603098,森特股份,0.5,-18.03,,12.36,,20040.68,-3.13,,03-30
000062,深圳华强,0.57,-3.18,,10.17,,41226.95,-3.19,10派3.5,03-23
300446,乐凯新材,0.85,-3.33,,19.77,,10437.88,-3.33,10派4,03-20
600113,浙江东日,0.3,-3.23,,15.51,,9556.1,-3.88,10派0.91,03-09
600835,上海机电,1.36,-4.23,,14.56,,139033.05,-4.05,10派4.8,03-29
601766,中国中车,0.38,-7.32,4.24,9.14,,1079855.6,-4.4,10派1.5,03-29
300305,裕兴股份,0.24,-4.24,,4.84,,6895.82,-4.55,,03-31
000715,中兴商业,0.3,-6.25,,6.78,,8457.69,-4.62,10派0.8,03-23
600158,中体产业,0.07,-4.7,,3.62,,5811.48,-4.75,10派0.22,03-27
600207,安彩高科,0.01,-16.0,,0.48,,907.66,-4.87,,03-10
002138,顺络电子,0.44,-8.33,,10.64,,34127.4,-4.97,10派2,02-28
000022,深赤湾A,0.78,-5.33,,10.45,,50449.51,-5.24,10派13.19,03-07
600269,赣粤高速,0.42,-4.55,,6.86,,98222.58,-5.33,10派1.7,03-27
002700,新疆浩源,0.18,-5.26,,8.15,,7577.38,-5.35,10派0.3,03-30
600833,第一医药,0.19,-9.52,,6.06,,4347.68,-5.56,,03-31
601880,大连港,0.04,-7.14,,2.79,,50077.99,-5.69,10派0.23,03-27
002812,创新股份,1.15,-24.34,,9.74,,15592.35,-5.72,10派11转10,03-07
002595,豪迈科技,0.84,-6.13,,18.44,,67582.79,-5.83,10派3.75,03-27
300635,达安股份,0.41,-52.87,,9.91,,5167.84,-6.07,,03-23
300018,中元股份,0.21,-4.55,,6.87,,10009.81,-6.26,10派1,03-30
603157,拉夏贝尔,0.98,-9.26,,13.59,,49852.7,-6.29,,03-23
001696,宗申动力,0.24,-6.41,,7.47,,27240.81,-6.43,10派0.3,03-15
000043,中航地产,0.23,-6.69,,3.64,,15058.78,-6.69,10派1,03-15
603103,横店影视,0.8,-10.11,,26.18,,33054.01,-7.16,,03-09
002584,西陇科学,0.15,-11.76,,5.24,,8984.57,-7.17,,03-23
603879,永悦科技,0.36,-18.18,,11.26,,4391.73,-7.18,,03-30
600109,国金证券,0.4,-7.46,,6.62,,120143.25,-7.49,10派0.5,03-29
600007,中国国贸,0.63,-7.35,,10.16,,63480.67,-7.51,10派3.2,03-24
002079,苏州固锝,0.14,-7.82,,7.02,,10469.7,-7.68,10派0.3,03-30
603580,艾艾精工,0.48,-22.77,,9.36,,2865.71,-7.75,,03-30
002615,哈尔斯,0.27,-38.64,,14.05,,10980.11,-7.84,10派2,03-28
600814,杭州解百,0.25,-7.41,,7.96,,18026.3,-7.9,10派0.8,03-20
300629,新劲刚,0.39,-27.78,,7.98,,2464.38,-8.1,,03-31
603278,大业股份,0.82,-10.87,,19.02,,13140.41,-8.11,,03-29
600026,中远海能,0.44,-8.12,,6.38,,176633.92,-8.12,10派0.5,03-29
000848,承德露露,0.42,-8.7,,21.52,,41359.79,-8.16,10派5,03-17
603038,华立股份,1.39,-29.8,,10.32,,9090.08,-8.17,,03-27
600006,东风汽车,0.1,-8.23,,3.05,,20070.49,-8.29,,03-31
300394,天孚通信,0.6,-8.51,,14.39,,11123.47,-8.51,,03-20
002182,云海金属,0.24,-55.52,,10.43,,15482.19,-8.55,10派0.8,03-29
600206,有研新材,0.05,-16.67,,1.54,,4356.15,-9.05,,03-26
300741,华宝股份,2.07,-15.85,10.11,22.29,2.6,114805.11,-9.13,,02-05
002457,青龙管业,0.06,0.0,,1.07,,1926.76,-9.15,10派1,03-30
002888,惠威科技,0.47,-20.34,,10.28,,3361.17,-9.27,,03-30
002339,积成电子,0.19,-9.52,,4.47,,7152.89,-9.44,10派0.4,03-28
300173,智慧松德,0.11,-15.38,,4.04,,6718.4,-9.7,10派0.3,03-26
600775,南京熊猫,0.12,-9.96,,3.2,,10738.21,-9.94,10派0.7,03-30
002910,庄园牧场,0.46,-14.81,,8.0,,6835.19,-9.96,,03-29
603859,能科股份,0.34,-28.76,,5.82,,3814.82,-10.0,,03-23
002772,众兴菌业,0.39,-20.44,,6.02,,14227.31,-10.24,,03-24
002230,科大讯飞,0.33,-10.81,,5.74,,43467.6,-10.27,10派1转5,03-29
300059,东方财富,0.15,-27.73,,4.86,,63690.16,-10.77,10派0.2转2,03-17
000970,中科三环,0.27,-11.67,,6.7,,28225.93,-10.84,10派0.9,03-30
000028,国药一致,2.47,-11.79,,11.91,,105779.19,-10.86,10派3,03-22
002672,东江环保,0.55,-11.29,,13.53,,47337.6,-11.32,10派1.61,03-30
002902,铭普光磁,0.71,-17.44,,11.77,,8035.78,-11.36,,03-27
603006,联明股份,0.6,-11.76,,12.96,,11362.72,-12.0,,03-31
600547,山东黄金,0.61,-20.78,,7.12,,113742.38,-12.02,10派0.4,03-07
601333,广深铁路,0.14,-12.5,,3.59,,101536.1,-12.34,10派0.8,03-29
603042,华脉科技,0.6,-26.66,,10.56,,7354.58,-12.4,,03-30
300656,民德电子,0.75,-26.86,,13.03,,4045.99,-12.63,,03-13
600386,北巴传媒,0.13,-55.17,,5.74,,10285.68,-12.64,10派1,03-28
002875,安奈儿,0.77,-26.67,,11.38,,6886.98,-12.95,,03-27
000151,中成股份,0.3,-13.38,,8.82,,8736.15,-13.4,10派2.5,03-30
601500,通用股份,0.2,-31.03,,5.76,,14749.93,-13.4,10派0.8,03-28
600635,大众公用,0.16,-27.27,,6.56,,47413.34,-13.42,10派0.6,03-30
600565,迪马股份,0.28,-15.15,,9.91,,66941.79,-13.82,10派0.9,03-27
300322,硕贝德,0.14,-12.5,,9.55,,5777.98,-13.96,10派0.3,03-27
000993,闽东电力,0.06,-14.29,,1.37,,2258.89,-14.21,,03-31
603768,常青股份,0.67,-30.93,,9.1,,12723.1,-14.24,,03-28
601878,浙商证券,0.34,-17.07,,9.22,,106350.78,-14.29,10派1,03-13
000728,国元证券,0.4,-44.44,,5.57,,120374.61,-14.35,10派1.5,03-28
600350,山东高速,0.55,-14.33,,10.29,,264418.2,-14.41,,03-31
000635,英力特,0.31,-13.89,,3.17,,9331.3,-15.01,,03-28
002229,鸿博股份,0.02,-47.68,,0.65,,1076.02,-15.14,10派0.6,03-24
601107,四川成渝,0.29,-15.16,,6.54,,88843.67,-15.16,10派1,03-30
600965,福成股份,0.19,-17.39,,8.7,,15655.8,-15.26,10派0.7,03-28
002799,环球印务,0.15,-51.61,,4.37,,2260.87,-15.63,,03-31
002023,海特高新,0.05,0.0,,0.95,,3436.89,-15.7,,03-27
603156,养元饮品,4.67,-15.72,,38.77,,230987.87,-15.72,,03-31
000973,佛塑科技,0.11,-15.38,,4.87,,10568.33,-15.89,10派0.3,03-24
600576,祥源文化,0.14,-17.65,,4.88,,9141.58,-15.95,,03-30
600649,城投控股,0.66,1.54,,9.16,,175859.43,-16.05,10派2.5,03-20
300403,地尔汉宇,0.48,-66.42,,11.24,,16074.1,-16.09,10派1.6转8,03-30
300117,嘉寓股份,0.09,-18.18,,4.42,,6374.03,-16.43,10派0.1,03-29
300115,长盈精密,0.63,-17.11,,13.69,,57096.55,-16.49,10派1,03-30
002049,紫光国芯,0.46,-16.74,,8.39,,27988.72,-16.73,10派0.5,03-30
002863,今飞凯达,0.3,-31.82,,7.69,,6087.65,-16.74,10派0.9转7,03-20
300479,神思电子,0.11,-16.85,,4.22,,1714.38,-16.8,10派0.3,03-30
600483,福能股份,0.54,-18.18,,8.21,,84353.43,-16.86,10派2,03-16
000628,高新发展,0.08,-17.02,,3.29,,2439.72,-16.92,,03-24
600886,国投电力,0.48,-17.47,,10.91,,323230.0,-17.47,10派1.667,03-27
002414,高德红外,0.09,-19.93,,1.79,,5844.48,-17.52,10派0.15,03-28
300557,理工光科,0.64,-35.35,,7.59,,3584.92,-17.73,10派2.5,03-10
002661,克明面业,0.34,-18.16,,5.45,,11267.52,-17.79,10派2,02-27
300339,润和软件,0.35,-58.82,,6.93,,24941.12,-17.84,10派1,03-28
002249,大洋电机,0.18,-21.74,,4.74,,41775.1,-17.98,10派1.1,03-27
600616,金枫酒业,0.11,-15.38,,2.74,,5518.46,-18.0,,03-31
603969,银龙股份,0.3,-16.67,,7.42,,11825.21,-18.36,,03-21
603089,正裕工业,0.69,-37.27,,10.9,,7200.42,-18.36,10派3,03-30
000928,中钢国际,0.33,-58.03,,9.37,,41775.89,-18.47,10派1.2,03-30
603309,维力医疗,0.32,-20.0,,7.38,,6455.71,-18.54,,03-30
600422,昆药集团,0.42,-18.65,,9.15,,33009.66,-18.95,,03-30
002030,达安基因,0.12,-20.0,,5.29,,8644.78,-18.97,,03-31
002077,大港股份,0.06,-25.0,,0.87,,3363.1,-19.15,,03-28
300593,新雷能,0.31,-39.22,,6.75,,3560.21,-19.26,10派0.5,03-27
002594,比亚迪,1.4,-25.53,,7.76,,406647.8,-19.51,10派1.41,03-28
600830,香溢融通,0.19,-20.17,,4.19,,8628.01,-20.14,,03-03
603978,深圳新星,1.57,-28.96,,11.63,,10453.03,-21.28,,03-27
603078,江化微,0.95,-37.71,,9.09,,5367.79,-22.14,,02-10
002238,天威视讯,0.38,-22.45,,8.68,,23557.5,-22.16,10派2.5,03-30
600259,广晟有色,0.07,-30.0,,1.05,,2048.04,-22.19,,03-30
000812,陕西金叶,0.06,-23.18,,2.88,,2717.13,-22.2,10派0.3送1转4,03-23
603929,亚翔集成,0.6,-41.75,,13.69,,12832.91,-22.34,,03-29
601881,中国银河,0.39,-27.78,,6.33,,398073.04,-22.76,10派1.2,03-29
000421,南京公用,0.26,-22.87,,6.13,,14852.12,-22.89,10派0.5,03-22
603665,康隆达,0.77,-38.4,,9.38,,7225.14,-22.94,10派1.5,03-28
002367,康力电梯,0.41,-26.88,,8.96,,32616.1,-23.09,10派1.5,03-30
600898,国美通讯,0.05,-23.09,,3.29,,1244.67,-23.14,,03-20
300101,振芯科技,0.05,-23.75,,3.59,,3053.98,-23.66,,03-28
000919,金陵药业,0.27,-23.87,,5.34,,13712.65,-23.88,10派1.7,03-27
300375,鹏翎股份,0.65,-24.42,,8.85,,11925.47,-24.19,10派2.4转8,03-31
603777,来伊份,0.42,-39.13,,5.38,,10136.99,-24.42,,03-24
000969,安泰科技,0.06,-26.78,,1.3,,5916.97,-25.13,,03-31
002471,中超控股,0.07,-25.25,,4.52,,8371.84,-25.22,,03-31
600306,商业城,0.46,-25.57,,76.21,,8240.33,-25.57,,03-27
600192,长城电工,0.04,-25.74,,0.85,,1658.31,-25.69,10派0.06,03-26
000952,广济药业,0.42,-25.89,,14.89,,10521.16,-25.82,,03-16
603618,杭电股份,0.15,-28.57,,4.65,,10034.2,-26.2,,01-23
002533,金杯电工,0.23,-26.86,,5.52,,12421.0,-26.49,10派1,03-30
600536,中国软件,0.15,-28.57,,3.6,,7489.84,-26.79,10派0.46,03-30
603033,三维股份,0.45,-61.21,,5.14,,5711.51,-27.79,10派1.5,03-13
300644,南京聚隆,1.18,-29.83,8.83,13.85,0.08,5643.31,-28.26,,01-24
600292,远达环保,0.14,-26.32,,2.23,,10867.74,-28.3,10派0.55,03-28
002674,兴业科技,0.15,-38.21,,1.93,,4513.69,-28.49,10派5,03-27
300131,英唐智控,0.13,-31.58,,7.65,,14300.32,-29.01,10派0.3,03-19
600299,安迪苏,0.49,-30.0,,10.51,,132331.58,-29.06,10派1.73,03-21
002028,思源电气,0.33,-33.06,,5.82,,24919.12,-29.09,10派1,03-24
300381,溢多利,0.2,-33.19,,4.19,,8042.43,-29.18,10派0.4,03-26
000400,许继电气,0.61,-29.36,,8.4,,61377.73,-29.36,10派0.2,03-24
603322,超讯通信,0.27,-38.64,,4.42,,2137.93,-29.42,,03-28
603508,思维列控,0.82,-29.91,,5.26,,13110.08,-29.86,10派3.125,03-24
000541,佛山照明,0.58,-30.96,,15.14,,74030.87,-30.96,10派3.29转1,03-30
603806,福斯特,1.46,-30.81,,12.03,,58519.2,-30.97,10派6转3,03-16
002870,香山股份,0.72,-42.4,,24.47,,7148.96,-31.34,,03-19
300026,红日药业,0.15,-31.82,,7.38,,45072.97,-31.56,10派0.2,03-30
603977,国泰集团,0.31,-47.46,,7.08,,6861.3,-32.03,,03-07
600765,中航重机,0.21,-32.26,,4.6,,16452.07,-32.15,10派0.2,03-12
600575,皖江物流,0.08,-33.33,,3.92,,31991.67,-32.33,,03-22
000856,冀东装备,0.07,-30.0,,5.18,,1554.18,-32.79,,03-22
002114,罗平锌电,0.17,-45.16,,3.25,,5528.97,-33.32,,03-30
300414,中光防雷,0.23,-32.94,,4.85,,3849.59,-33.37,,02-28
002480,新筑股份,0.02,-33.45,,0.54,,1245.64,-33.4,10派0.2,03-30
002106,莱宝高科,0.2,-33.33,,3.82,,14090.45,-33.46,,03-31
002688,金河生物,0.17,-34.62,,7.2,,10842.39,-33.94,10派0.3,03-15
000698,沈阳化工,0.27,-35.71,,5.18,,22484.87,-33.96,,03-30
603303,得邦照明,0.55,-68.98,,15.47,,21008.91,-34.08,10派1.3,03-10
000514,渝开发,0.1,-34.11,,2.73,,8079.67,-34.13,10派0.2,03-10
002326,永太科技,0.22,-37.14,,7.15,,18223.61,-34.22,10派1,03-06
600416,湘电股份,0.1,-41.18,,1.36,,9119.73,-34.29,10派0.3,03-30
600871,*ST油服,-0.75,-34.33,,,,-1058254.1,-34.33,,03-28
600717,天津港,0.49,-34.67,,4.78,,82387.65,-34.8,10派1.48,03-24
002786,银宝山新,0.17,-34.62,,6.01,,6454.91,-34.83,10派0.17,03-30
600218,全柴动力,0.17,-34.62,,3.24,,6148.18,-35.21,10派0.5,03-30
600520,文一科技,0.05,-37.5,,1.84,,795.11,-35.62,,03-20
603258,电魂网络,0.69,-48.89,,10.46,,16451.33,-35.76,,03-28
300647,超频三,0.31,-47.46,,7.82,,3353.06,-36.51,,03-28
000722,湖南发展,0.19,-36.67,,3.24,,8900.81,-36.65,,03-31
600353,旭光股份,0.05,-36.7,,2.58,,2757.71,-36.71,10派0.16,02-14
002606,大连电瓷,0.15,-68.09,,6.87,,5931.23,-37.01,10派0.15,03-30
002324,普利特,0.64,-37.86,,7.92,,17423.21,-37.31,,03-31
300181,佐力药业,0.07,-41.67,,3.38,,4514.03,-37.32,10派0.2,03-16
600495,晋西车轴,0.01,-50.0,,0.54,,1680.8,-37.62,10派0.1,03-29
601375,中原证券,0.11,-50.0,,4.24,,44198.26,-38.5,10派0.35,03-30
300034,钢研高纳,0.14,-39.8,,4.38,,5819.21,-39.36,10派0.7,03-23
002519,银河电子,0.16,-69.23,,5.0,,18728.66,-39.58,,03-20
002053,云南能投,0.29,-39.98,,7.04,,16212.8,-39.98,10派1,03-30
300033,同花顺,1.35,-40.0,,24.68,,72565.38,-40.11,10派9,02-28
000802,北京文化,0.43,-50.45,,6.71,,31033.35,-40.59,10派0.41,03-06
000029,深深房A,0.18,-40.62,,6.76,,18498.85,-40.63,,03-29
002374,丽鹏股份,0.1,-50.0,,2.86,,9005.78,-42.12,,03-06
002178,延华智能,0.03,-50.0,,2.17,,2520.32,-43.32,,03-29
601901,方正证券,0.18,-41.94,4.55,3.99,1.05,145295.79,-43.45,,03-31
