报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
主营业务收入增长率(%),84.44,141.23,40.17,-65.17,-38.98,116.81,109.19,3.04,--,
净利润增长率(%),62.53,76.03,49.68,-75.25,-46.83,157.76,110.29,-24.58,--,
净资产增长率(%),78.47,9.4,3.99,1.06,212.85,155.31,41.51,59.19,--,
总资产增长率(%),74.84,24.76,4.18,-1.69,84.44,98.22,106.38,22.66,--,
