报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
流动比率(%),4.91,3.39,10.4,13.49,9.98,1.82,1.34,1.5,1.1,
速动比率(%),4.35,2.38,8.48,11.75,8.71,0.98,0.77,1.05,0.65,
现金比率(%),163.9,67.8,574.77,817.99,616.59,27.89,34.22,35.27,21.76,
利息支付倍数(%),5747.74,-3499.23,-168.87,-71.77,-1019.09,48531.25,25514.04,4662.8,5001.84,
资产负债率(%),16.59,18.29,6.82,6.65,9.19,46.47,58.44,39.38,53.3,
长期债务与营运资金比率(%),0.02,0.05,--,--,--,--,--,--,--,
股东权益比率(%),83.41,81.71,93.18,93.35,90.81,53.53,41.56,60.62,46.7,
长期负债比率(%),1.09,2.04,--,--,--,--,--,--,--,
股东权益与固定资产比率(%),555.08,477.39,1522.02,2253.33,2097.49,659.19,296.44,--,--,
负债与所有者权益比率(%),19.89,22.39,7.32,7.12,10.12,86.8,140.59,64.97,114.12,
长期资产与长期资金比率(%),31.51,55.6,--,--,--,--,--,--,--,
资本化比率(%),1.29,2.44,--,--,--,--,--,--,--,
固定资产净值率(%),85.14,83.67,74.69,70.61,77.44,83.49,88.63,--,--,
资本固定化比率(%),31.92,57,33.1,11.1,9.05,29.03,52.83,67.55,89.17,
产权比率(%),19.24,21.78,7.14,7.12,10.12,86.8,140.59,64.97,113.62,
清算价值比率(%),599.46,523.99,--,--,--,--,--,--,--,
固定资产比重(%),15.03,17.12,6.12,4.14,4.33,8.12,14.02,--,--,
