报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
主营业务收入增长率(%),87.3,91.56,106.17,84.44,72.47,77.87,61.17,141.23,103.96,85.69,68.18,40.17,24.9,4.75,4.56,-65.17,-62.57,-63.68,-72.61,-38.98,-31.85,--,--,116.81,--,--,--,109.19,3.04,--,
净利润增长率(%),98.6,92.21,144.24,62.53,68.24,55.17,36.26,76.03,48.5,43.78,12.19,49.68,38.33,20.38,-16.13,-75.25,-76.73,-78.27,-77.48,-46.83,-28.83,--,--,157.76,--,--,--,110.29,-24.58,--,
净资产增长率(%),71.68,72.15,73.67,78.47,10.45,9.54,13.31,9.4,9.13,7.74,4.06,3.99,2.65,2.18,0.88,1.06,1.67,-1.01,174.46,212.85,292.05,--,--,155.31,--,--,--,41.51,59.19,--,
总资产增长率(%),114.88,84.42,75.27,74.84,17.74,15.83,31.5,24.76,18.76,20.42,2.26,4.18,3.58,3.77,2.53,-1.69,-1.05,-7.92,93.06,84.44,77.81,--,--,98.22,--,--,--,106.38,22.66,--,
