报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
总资产利润率(%),4.45,4.79,3.4,2.36,9.39,32.57,25.04,24.58,39.97,
主营业务利润率(%),37.62,43.74,38.12,48.38,53.84,51.3,54.57,57.82,47.91,
总资产净利润率(%),5.67,5.32,3.47,2.34,12.18,43.29,33.74,27.08,39.97,
成本费用利润率(%),25.21,26.37,36.15,40.67,69.15,75.97,76.57,55.38,77.88,
营业利润率(%),17.5,18.14,24.15,22.16,38.56,38.08,40.76,31.82,39.65,
主营业务成本率(%),61.13,55.42,60.72,50.23,45.3,47.6,44.6,41.69,51.4,
销售净利率(%),16.86,19.13,26.22,24.55,34.55,39.65,33.35,33.18,45.33,
净资产收益率(%),6.21,5.78,3.82,2.58,10.34,60.83,60.25,40.55,85.59,
股本报酬率(%),29.68,21.75,25.9,27.86,147.69,--,--,--,--,
净资产报酬率(%),8.49,9.95,5.87,4.38,11.73,63.83,64.58,40.55,85.59,
资产报酬率(%),7.08,8.13,5.47,4.09,10.65,34.17,26.84,24.58,39.97,
销售毛利率(%),--,--,--,--,--,52.4,55.4,58.31,48.6,
三项费用比重(%),17,22.58,16.44,19.89,11.94,11.3,12.72,23.85,8.12,
非主营比重(%),13.97,14.78,19.54,26.92,4.03,16.44,8.45,12.98,15.45,
主营利润比重(%),187.95,210.38,134.68,166.34,134,112.56,122.58,158.12,102.17,
