报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1998-12-31,1997-12-31,
主营业务收入增长率(%),21.81,20.18,18.76,19.08,20.28,20.36,21.08,25.01,25.16,24.95,28.03,20.14,20.99,18.23,16.17,14.13,12.32,13.73,10.59,19.44,21.7,20.49,19.73,21.53,17.95,15.9,18.75,23.61,27.25,30.81,32.45,26.6,23.73,19.35,18.89,22.09,28.85,33.03,48.91,36.41,32.23,32.66,18.96,21.82,19.6,17.36,16.32,2.98,-1.65,12.36,18.5,9.02,17.2,3.74,10.03,38.93,39.12,38.45,50.22,19.2,--,19.6,--,30.86,29.78,17.1,--,13.78,19.84,--,
净利润增长率(%),22.58,20.69,18.23,18.45,21.2,21.62,22.37,41.39,38.69,38.44,39.63,21.74,21.37,18.98,16.02,12.22,11.55,11.62,8.38,22.44,19.8,19.39,19.49,24.49,22.37,22.3,27.29,8.96,18.4,5.35,-4.22,59.16,73.67,95.14,185.79,4.08,10.4,25.9,3.17,103.94,66.25,46.68,48.01,28.21,20.12,44.24,30.73,31.95,38.13,39.58,24.51,31.57,56.42,65.86,35.78,16.31,-4.87,-32.63,23.7,-2.62,--,9.71,--,24.21,67.88,26.89,--,18.36,6.1,--,
净资产增长率(%),23.01,23.31,23.82,24.3,24.11,23.86,24.59,24.94,25.2,24.68,25.73,24.55,24.09,23.65,21.88,22.29,22.81,23.47,23.14,24.3,24.13,24.43,25.26,26.01,25.96,30.36,33.48,30.39,33.45,27.6,25.38,31.64,32.04,32.38,31.19,23.96,26.88,29.85,32.66,28.86,21.96,18.33,11.27,14.37,12.06,13.37,17.55,11.03,11.01,10.11,5.77,10.48,11.39,10.09,11.73,11.53,4.94,3.7,6.89,6.86,--,13.58,--,12.7,280.21,313.79,--,14.84,48.13,--,
总资产增长率(%),21.3,23.58,25.38,24.65,25.2,24.38,24.93,26.52,26.28,25.38,27.14,25.85,22.99,23.78,20.85,22.53,24.83,23.16,19.89,22.3,18.9,21.39,26.66,23.68,30.22,27.82,26.85,29.9,32.42,32.5,31.34,33.03,28.18,27.31,26.08,11.95,17.79,24.18,25.87,37.13,28.77,19.49,16.81,14.26,12.82,13.54,7.55,2.38,7.28,-2.83,-4.81,-13.46,-18.1,-10.98,2.5,20.43,20.72,19.17,9.66,7.65,--,12.74,--,13.46,134.4,112.69,--,26.86,26.52,--,
