报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,
主营业务收入增长率(%),19.08,25.01,20.14,14.13,19.44,21.53,23.61,26.6,22.09,36.41,21.82,2.98,9.02,38.93,19.2,30.86,17.1,13.78,19.84,--,
净利润增长率(%),18.45,41.39,21.74,12.22,22.44,24.49,8.96,59.16,4.08,103.94,28.21,31.95,31.57,16.31,-2.62,24.21,26.89,18.36,6.1,--,
净资产增长率(%),24.3,24.94,24.55,22.29,24.3,26.01,30.39,31.64,23.96,28.86,14.37,11.03,10.48,11.53,6.86,12.7,313.79,14.84,48.13,--,
总资产增长率(%),24.65,26.52,25.85,22.53,22.3,23.68,29.9,33.03,11.95,37.13,14.26,2.38,-13.46,20.43,7.65,13.46,112.69,26.86,26.52,--,
